Date,KO,PEP
2015-04-16,29.56849479675293,71.94689178466797
2015-04-17,29.350013732910156,71.46951293945312
2015-04-20,29.61220359802246,71.98420715332031
2015-04-21,29.699594497680664,72.19308471679688
2015-04-22,30.085580825805664,72.56605529785156
2015-04-23,29.823400497436523,71.40982818603516
2015-04-24,29.779695510864258,70.99211120605469
2015-04-27,29.736007690429688,70.4848403930664
2015-04-28,29.69230842590332,70.43264770507812
2015-04-29,29.488399505615234,70.40278625488281
2015-04-30,29.539363861083984,70.95480346679688
2015-05-01,29.794269561767578,71.28301239013672
2015-05-04,29.83068084716797,71.57391357421875
2015-05-05,29.677743911743164,71.1785888671875
2015-05-06,29.61220359802246,71.22335815429688
2015-05-07,29.64133071899414,70.97716522216797
2015-05-08,29.845239639282227,72.02149963378906
2015-05-11,29.816118240356445,71.8722915649414
2015-05-12,29.63404655456543,71.76040649414062
2015-05-13,29.89622688293457,71.91708374023438
2015-05-14,30.223960876464844,73.10313415527344
2015-05-15,30.238515853881836,73.26725006103516
2015-05-18,30.092864990234375,73.14045715332031
2015-05-19,30.085580825805664,73.06584930419922
2015-05-20,30.11471176147461,72.87191009521484
2015-05-21,30.027318954467773,72.50639343261719
2015-05-22,30.012754440307617,71.80519104003906
2015-05-26,29.8525333404541,71.45458221435547
2015-05-27,29.94721221923828,71.89469909667969
2015-05-28,29.961769104003906,72.40196228027344
2015-05-29,29.83068084716797,71.9320068359375
2015-06-01,29.816118240356445,71.5888671875
2015-06-02,29.8525333404541,71.64852905273438
2015-06-03,29.765134811401367,71.61322784423828
2015-06-04,29.561220169067383,70.74153900146484
2015-06-05,29.204355239868164,69.92247009277344
2015-06-08,29.2480525970459,69.76466369628906
2015-06-09,29.27718734741211,69.93749237060547
2015-06-10,29.371870040893555,70.40341186523438
2015-06-11,29.445287704467773,70.70394134521484
2015-06-12,29.34248924255371,70.4409408569336
2015-06-15,29.0708065032959,69.61436462402344
2015-06-16,29.43060874938965,70.29815673828125
2015-06-17,29.57012176513672,70.67388916015625
2015-06-18,29.84915542602539,71.56060791015625
2015-06-19,29.665576934814453,71.28258514404297
2015-06-22,29.724315643310547,71.83866882324219
2015-06-23,29.650894165039062,71.83866882324219
2015-06-24,29.511383056640625,71.60570526123047
2015-06-25,29.386550903320312,71.2600326538086
